"Carbonear, Newfoundland and Labrador [1001370]",Carbonear, Newfoundland and Labrador ,1001370
"Corner Brook, Newfoundland and Labrador [1005018]",Corner Brook, Newfoundland and Labrador ,1005018
"Gander, Newfoundland and Labrador [1006009]",Gander, Newfoundland and Labrador ,1006009
"Goose Bay, Newfoundland and Labrador",Goose Bay,#VALUE!,#VALUE!
"Happy Valley - Goose Bay, Newfoundland and Labrador [1010025]",Happy Valley - Goose Bay, Newfoundland and Labrador ,1010025
"Hopedale, Newfoundland and Labrador [1011030]",Hopedale, Newfoundland and Labrador ,1011030
"Labrador City, Newfoundland and Labrador [1010032]",Labrador City, Newfoundland and Labrador ,1010032
"Marystown, Newfoundland and Labrador [1002024]",Marystown, Newfoundland and Labrador ,1002024
"Nain, Newfoundland and Labrador [1011035]",Nain, Newfoundland and Labrador ,1011035
"Natuashish, Newfoundland and Labrador [1010801]",Natuashish, Newfoundland and Labrador ,1010801
"Rigolet, Newfoundland and Labrador [1011010]",Rigolet, Newfoundland and Labrador ,1011010
"Sheshatshiu, Newfoundland and Labrador [1010802]",Sheshatshiu, Newfoundland and Labrador ,1010802
"St. John's, Newfoundland and Labrador [1001519]",St. John's, Newfoundland and Labrador ,1001519
"Charlottetown, Prince Edward Island [1102075]",Charlottetown, Prince Edward Island ,1102075
"Lennox Island, Prince Edward Island [1103035]",Lennox Island, Prince Edward Island ,1103035
"Amherst, Nova Scotia [1211011]",Amherst, Nova Scotia ,1211011
"Antigonish, Nova Scotia [1214002]",Antigonish, Nova Scotia ,1214002
"Bridgewater, Nova Scotia [1206004]",Bridgewater, Nova Scotia ,1206004
"Dartmouth, Nova Scotia",Dartmouth,#VALUE!,#VALUE!
"Glace Bay, Nova Scotia",Glace Bay,#VALUE!,#VALUE!
"Halifax, Nova Scotia [1209034]",Halifax, Nova Scotia ,1209034
"Kentville, Nova Scotia [1207012]",Kentville, Nova Scotia ,1207012
"New Glasgow, Nova Scotia [1212014]",New Glasgow, Nova Scotia ,1212014
"Port Hawkesbury, Nova Scotia [1215002]",Port Hawkesbury, Nova Scotia ,1215002
"Sydney, Nova Scotia",Sydney,#VALUE!,#VALUE!
"Truro, Nova Scotia [1210006]",Truro, Nova Scotia ,1210006
"Waycobah, Nova Scotia",Waycobah,#VALUE!,#VALUE!
"Yarmouth, Nova Scotia [1202004]",Yarmouth, Nova Scotia ,1202004
"Bathurst, New Brunswick [1315008]",Bathurst, New Brunswick ,1315008
"Campbellton, New Brunswick [1314014]",Campbellton, New Brunswick ,1314014
"Edmundston, New Brunswick [1313027]",Edmundston, New Brunswick ,1313027
"Fredericton, New Brunswick [1310032]",Fredericton, New Brunswick ,1310032
"Kent County, New Brunswick",Kent County,#VALUE!,#VALUE!
"Miramichi, New Brunswick [1309050]",Miramichi, New Brunswick ,1309050
"Moncton, New Brunswick [1307019]",Moncton, New Brunswick ,1307019
"Saint John, New Brunswick [1301006]",Saint John, New Brunswick ,1301006
"St. Stephen, New Brunswick [1302037]",St. Stephen, New Brunswick ,1302037
"Sussex, New Brunswick [1305022]",Sussex, New Brunswick ,1305022
"Tracadie-Sheila, New Brunswick [1315003]",Tracadie-Sheila, New Brunswick ,1315003
"Woodstock, New Brunswick [1311004]",Woodstock, New Brunswick ,1311004
"Amos, Quebec [2488055]",Amos, Quebec ,2488055
"Baie-Comeau, Quebec [2496020]",Baie-Comeau, Quebec ,2496020
"Beauceville, Quebec [2427028]",Beauceville, Quebec ,2427028
"Bécancour, Quebec",Bécancour,#VALUE!,#VALUE!
"Cabano, Quebec",Cabano,#VALUE!,#VALUE!
"Cap-Aux-Meules, Quebec",Cap-Aux-Meules,#VALUE!,#VALUE!
"Cap-De-La-Madeleine, Quebec",Cap-De-La-Madeleine,#VALUE!,#VALUE!
"Chambly, Quebec [2457005]",Chambly, Quebec ,2457005
"Chateauguay, Quebec",Chateauguay,#VALUE!,#VALUE!
"Chelsea, Quebec [2482025]",Chelsea, Quebec ,2482025
"Chibougamau, Quebec [2499025]",Chibougamau, Quebec ,2499025
"Cowansville, Quebec [2446080]",Cowansville, Quebec ,2446080
"Dolbeau-Mistassini, Quebec [2492022]",Dolbeau-Mistassini, Quebec ,2492022
"Drummondville, Quebec [2449058]",Drummondville, Quebec ,2449058
"Fermont, Quebec [2497035]",Fermont, Quebec ,2497035
"Forestville, Quebec [2495045]",Forestville, Quebec ,2495045
"Fort Coulonge, Quebec",Fort Coulonge,#VALUE!,#VALUE!
"Gaspe, Quebec",Gaspe,#VALUE!,#VALUE!
"Gatineau, Quebec [2481017]",Gatineau, Quebec ,2481017
"Granby, Quebec [2447017]",Granby, Quebec ,2447017
"Grande-Mère, Quebec",Grande-Mère,#VALUE!,#VALUE!
"Ham Sud, Quebec",Ham Sud,#VALUE!,#VALUE!
"Joliette, Quebec [2461025]",Joliette, Quebec ,2461025
"La Malbaie, Quebec [2415013]",La Malbaie, Quebec ,2415013
"La Pocatière, Quebec [2414085]",La Pocatière, Quebec ,2414085
"La Prairie, Quebec [2467015]",La Prairie, Quebec ,2467015
"La Tuque, Quebec [2490012]",La Tuque, Quebec ,2490012
"Lac Mégantic, Quebec",Lac Mégantic,#VALUE!,#VALUE!
"Lachute, Quebec [2476020]",Lachute, Quebec ,2476020
"Laval, Quebec [2465005]",Laval, Quebec ,2465005
"Lévis, Quebec [2425213]",Lévis, Quebec ,2425213
"L'islet-Sur-Mer, Quebec",L'islet-Sur-Mer,#VALUE!,#VALUE!
"Longueuil, Quebec [2458227]",Longueuil, Quebec ,2458227
"Listuguj, Quebec [2406804]",Listuguj, Quebec ,2406804
"Magog, Quebec [2445072]",Magog, Quebec ,2445072
"Maniwaki, Quebec [2483065]",Maniwaki, Quebec ,2483065
"Maria, Quebec [2406005]",Maria, Quebec ,2406005
"Martinville, Quebec [2444060]",Martinville, Quebec ,2444060
"Mascouche, Quebec [2464015]",Mascouche, Quebec ,2464015
"Matane, Quebec [2408053]",Matane, Quebec ,2408053
"Mont-Laurier, Quebec [2479088]",Mont-Laurier, Quebec ,2479088
"Montmagny, Quebec [2418050]",Montmagny, Quebec ,2418050
"Montréal, Quebec [2466023]",Montréal, Quebec ,2466023
"Nicolet, Quebec [2450072]",Nicolet, Quebec ,2450072
"Ormstown, Quebec [2469037]",Ormstown, Quebec ,2469037
"Pabos, Quebec",Pabos,#VALUE!,#VALUE!
"Pointe-à-la-Croix, Quebec",Pointe-à-la-Croix,#VALUE!,#VALUE!
"Pontiac, Quebec [2482030]",Pontiac, Quebec ,2482030
"Quebec City, Quebec [2423027]",Quebec City, Quebec ,2423027
"Rawdon, Quebec [2462037]",Rawdon, Quebec ,2462037
"Repentigny, Quebec [2460013]",Repentigny, Quebec ,2460013
"Rimouski, Quebec [2410043]",Rimouski, Quebec ,2410043
"Rivière-du-Loup, Quebec [2412072]",Rivière-du-Loup, Quebec ,2412072
"Roberval, Quebec [2491025]",Roberval, Quebec ,2491025
"Rouyn-Noranda, Quebec [2486042]",Rouyn-Noranda, Quebec ,2486042
"Roxton Falls, Quebec [2448010]",Roxton Falls, Quebec ,2448010
"Saguenay, Quebec [2494068]",Saguenay, Quebec ,2494068
"Sainte-Adèle, Quebec [2477022]",Sainte-Adèle, Quebec ,2477022
"Sainte-Julie, Quebec [2459010]",Sainte-Julie, Quebec ,2459010
"Saint-Eugènes-de-Guigues, Quebec",Saint-Eugènes-de-Guigues,#VALUE!,#VALUE!
"Saint-Eustache, Quebec [2472005]",Saint-Eustache, Quebec ,2472005
"Saint-Jérôme, Quebec [2475017]",Saint-Jérôme, Quebec ,2475017
"Saint-Stanislas, Quebec [2492070]",Saint-Stanislas, Quebec ,2492070
"Salaberry-de-Valleyfield, Quebec [2470052]",Salaberry-de-Valleyfield, Quebec ,2470052
"Sept-Îles, Quebec [2497007]",Sept-Îles, Quebec ,2497007
"Shawinigan, Quebec [2436033]",Shawinigan, Quebec ,2436033
"Shefferville, Quebec",Shefferville,#VALUE!,#VALUE!
"Sherbrooke, Quebec",Sherbrooke,#VALUE!,#VALUE!
"Sorel, Quebec",Sorel,#VALUE!,#VALUE!
"St. Hyacinthe, Quebec",St. Hyacinthe,#VALUE!,#VALUE!
"St-Augustin-de-Desmaures, Quebec",St-Augustin-de-Desmaures,#VALUE!,#VALUE!
"Ste-Agathe-Des-Monts, Quebec",Ste-Agathe-Des-Monts,#VALUE!,#VALUE!
"Ste-Anne-Des-Monts, Quebec",Ste-Anne-Des-Monts,#VALUE!,#VALUE!
"Ste-Therese, Quebec",Ste-Therese,#VALUE!,#VALUE!
"St-Georges, Quebec",St-Georges,#VALUE!,#VALUE!
"St-Georges-de-Beauce, Quebec",St-Georges-de-Beauce,#VALUE!,#VALUE!
"St-Jean-sur-Richelieu, Quebec",St-Jean-sur-Richelieu,#VALUE!,#VALUE!
"St-Raymond, Quebec",St-Raymond,#VALUE!,#VALUE!
"Terrebonne, Quebec [2464008]",Terrebonne, Quebec ,2464008
"Thetford Mines, Quebec [2431084]",Thetford Mines, Quebec ,2431084
"Trois-Rivières, Quebec [2437067]",Trois-Rivières, Quebec ,2437067
"Val D'or, Quebec",Val D'or,#VALUE!,#VALUE!
"Valleyfield, Quebec",Valleyfield,#VALUE!,#VALUE!
"Vaudreuil-Dorion, Quebec [2471083]",Vaudreuil-Dorion, Quebec ,2471083
"Victoriaville, Quebec [2439062]",Victoriaville, Quebec ,2439062
"Ville-Marie, Quebec [2485025]",Ville-Marie, Quebec ,2485025
"Weedon, Quebec [2441098]",Weedon, Quebec ,2441098
"Alliston, Ontario",Alliston,#VALUE!,#VALUE!
"Atikokan, Ontario [3559001]",Atikokan, Ontario ,3559001
"Aurora, Ontario [3519046]",Aurora, Ontario ,3519046
"Barrie, Ontario [3543042]",Barrie, Ontario ,3543042
"Bear Island, Ontario",Bear Island,#VALUE!,#VALUE!
"Belleville, Ontario [3512005]",Belleville, Ontario ,3512005
"Big Trout Lake, Ontario",Big Trout Lake,#VALUE!,#VALUE!
"Blind River, Ontario [3557038]",Blind River, Ontario ,3557038
"Bowmanville, Ontario",Bowmanville,#VALUE!,#VALUE!
"Bracebridge, Ontario [3544018]",Bracebridge, Ontario ,3544018
"Brampton, Ontario [3521010]",Brampton, Ontario ,3521010
"Brantford, Ontario [3529006]",Brantford, Ontario ,3529006
"Brockville, Ontario [3507015]",Brockville, Ontario ,3507015
"Burlington, Ontario",Burlington,#VALUE!,#VALUE!
"Cambridge , Ontario",Cambridge ,#VALUE!,#VALUE!
"Carleton Place, Ontario [3509028]",Carleton Place, Ontario ,3509028
"Chatham, Ontario",Chatham,#VALUE!,#VALUE!
"Clinton, Ontario",Clinton,#VALUE!,#VALUE!
"Cobourg, Ontario [3514021]",Cobourg, Ontario ,3514021
"Cochrane, Ontario",Cochrane,#VALUE!,#VALUE!
"Collingwood, Ontario [3543031]",Collingwood, Ontario ,3543031
"Cornwall, Ontario [3501012]",Cornwall, Ontario ,3501012
"Dryden, Ontario [3560027]",Dryden, Ontario ,3560027
"East Gwillimbury, Ontario [3519054]",East Gwillimbury, Ontario ,3519054
"Elliot Lake, Ontario [3557041]",Elliot Lake, Ontario ,3557041
"Fort Hope, Ontario [3560053]",Fort Hope, Ontario ,3560053
"Geraldton, Ontario",Geraldton,#VALUE!,#VALUE!
"Goderich, Ontario [3540028]",Goderich, Ontario ,3540028
"Guelph, Ontario [3523008]",Guelph, Ontario ,3523008
"Haileybury, Ontario",Haileybury,#VALUE!,#VALUE!
"Hamilton, Ontario [3514019]",Hamilton, Ontario ,3514019
"Hawkesbury, Ontario [3502008]",Hawkesbury, Ontario ,3502008
"Huntsville, Ontario [3544042]",Huntsville, Ontario ,3544042
"Jarvis, Ontario",Jarvis,#VALUE!,#VALUE!
"Kapuskasing, Ontario [3556066]",Kapuskasing, Ontario ,3556066
"Kenora, Ontario [3560010]",Kenora, Ontario ,3560010
"Kincardine, Ontario [3541024]",Kincardine, Ontario ,3541024
"Kingston, Ontario",Kingston,#VALUE!,#VALUE!
"Kitchener, Ontario [3530013]",Kitchener, Ontario ,3530013
"Lindsay, Ontario",Lindsay,#VALUE!,#VALUE!
"London, Ontario [3539036]",London, Ontario ,3539036
"Marathon, Ontario [3558059]",Marathon, Ontario ,3558059
"Matheson, Ontario",Matheson,#VALUE!,#VALUE!
"Mattawa, Ontario [3548021]",Mattawa, Ontario ,3548021
"Midland, Ontario [3543074]",Midland, Ontario ,3543074
"Milton, Ontario [3524009]",Milton, Ontario ,3524009
"Mindemoya, Ontario",Mindemoya,#VALUE!,#VALUE!
"Mindin, Ontario",Mindin,#VALUE!,#VALUE!
"Mississauga, Ontario [3521005]",Mississauga, Ontario ,3521005
"Moosonee, Ontario [3556106]",Moosonee, Ontario ,3556106
"Napanee, Ontario",Napanee,#VALUE!,#VALUE!
"Newmarket, Ontario [3519048]",Newmarket, Ontario ,3519048
"Niagara Falls, Ontario [3526043]",Niagara Falls, Ontario ,3526043
"Niagara-on-the-Lake, Ontario",Niagara-on-the-Lake,#VALUE!,#VALUE!
"North Bay , Ontario",North Bay ,#VALUE!,#VALUE!
"Oakville, Ontario [3524001]",Oakville, Ontario ,3524001
"Ohsweken, Ontario",Ohsweken,#VALUE!,#VALUE!
"Orangeville , Ontario",Orangeville ,#VALUE!,#VALUE!
"Orillia, Ontario [3543052]",Orillia, Ontario ,3543052
"Oshawa, Ontario [3518013]",Oshawa, Ontario ,3518013
"Osnaburgh, Ontario",Osnaburgh,#VALUE!,#VALUE!
"Ottawa, Ontario [3506008]",Ottawa, Ontario ,3506008
"Owen Sound, Ontario [3542059]",Owen Sound, Ontario ,3542059
"Parry Sound, Ontario [3549032]",Parry Sound, Ontario ,3549032
"Pawitik, Ontario",Pawitik,#VALUE!,#VALUE!
"Pembroke, Ontario [3547064]",Pembroke, Ontario ,3547064
"Peterborough, Ontario [3515014]",Peterborough, Ontario ,3515014
"Picton, Ontario",Picton,#VALUE!,#VALUE!
"Red Lake, Ontario [3560042]",Red Lake, Ontario ,3560042
"Richmond Hill, Ontario [3519038]",Richmond Hill, Ontario ,3519038
"Roseneath, Ontario",Roseneath,#VALUE!,#VALUE!
"Sarnia, Ontario [3538030]",Sarnia, Ontario ,3538030
"Sault Ste. Marie, Ontario [3557061]",Sault Ste. Marie, Ontario ,3557061
"Simcoe, Ontario",Simcoe,#VALUE!,#VALUE!
"Sioux Lookout, Ontario [3560034]",Sioux Lookout, Ontario ,3560034
"Southampton, Ontario",Southampton,#VALUE!,#VALUE!
"Southwold, Ontario [3534024]",Southwold, Ontario ,3534024
"St. Catharine's, Ontario",St. Catharine's,#VALUE!,#VALUE!
"St. Thomas, Ontario [3534021]",St. Thomas, Ontario ,3534021
"Stratford, Ontario [3531011]",Stratford, Ontario ,3531011
"Sturgeon Falls, Ontario",Sturgeon Falls,#VALUE!,#VALUE!
"Strathroy, Ontario",Strathroy,#VALUE!,#VALUE!
"Sudbury, Ontario",Sudbury,#VALUE!,#VALUE!
"Sutton West, Ontario",Sutton West,#VALUE!,#VALUE!
"Thunder Bay, Ontario [3558004]",Thunder Bay, Ontario ,3558004
"Timmins, Ontario [3556027]",Timmins, Ontario ,3556027
"Toronto, Ontario [3520005]",Toronto, Ontario ,3520005
"Tyendinaga Mohawk Territory, Ontario [3512004]",Tyendinaga Mohawk Territory, Ontario ,3512004
"Wallaceburg, Ontario",Wallaceburg,#VALUE!,#VALUE!
"Wawa, Ontario [3557076]",Wawa, Ontario ,3557076
"Welland, Ontario [3526032]",Welland, Ontario ,3526032
"Whitby, Ontario [3518009]",Whitby, Ontario ,3518009
"Wiarton, Ontario",Wiarton,#VALUE!,#VALUE!
"Winchestor, Ontario",Winchestor,#VALUE!,#VALUE!
"Windsor, Ontario",Windsor,#VALUE!,#VALUE!
"Woodstock, Ontario",Woodstock,#VALUE!,#VALUE!
"Koostatak (Fisher River), Manitoba",Koostatak (Fisher River),#VALUE!,#VALUE!
"Norway House, Manitoba",Norway House,#VALUE!,#VALUE!
"Portage La Prairie, Manitoba",Portage La Prairie,#VALUE!,#VALUE!
"Pukatawagon, Manitoba",Pukatawagon,#VALUE!,#VALUE!
"Selkirk, Manitoba [4613047]",Selkirk, Manitoba ,4613047
"Shamattawa, Manitoba",Shamattawa,#VALUE!,#VALUE!
"Steinbach, Manitoba [4602044]",Steinbach, Manitoba ,4602044
"Swan River, Manitoba [4620041]",Swan River, Manitoba ,4620041
"The Pas, Manitoba [4621045]",The Pas, Manitoba ,4621045
"Thompson, Manitoba [4622026]",Thompson, Manitoba ,4622026
"Windkler, Manitoba",Windkler,#VALUE!,#VALUE!
"Winnipeg, Manitoba [4611040]",Winnipeg, Manitoba ,4611040
"Battleford, Saskatchewan [4712079]",Battleford, Saskatchewan ,4712079
"La Ronge, Saskatchewan [4718041]",La Ronge, Saskatchewan ,4718041
"Meadow Lake, Saskatchewan [4717052]",Meadow Lake, Saskatchewan ,4717052
"Moose Jaw, Saskatchewan [4707039]",Moose Jaw, Saskatchewan ,4707039
"North Battleford, Saskatchewan [4716029]",North Battleford, Saskatchewan ,4716029
"Prince Albert, Saskatchewan [4715066]",Prince Albert, Saskatchewan ,4715066
"Regina, Saskatchewan [4706027]",Regina, Saskatchewan ,4706027
"Saskatoon, Saskatchewan [4711066]",Saskatoon, Saskatchewan ,4711066
"Swift Current, Saskatchewan [4708004]",Swift Current, Saskatchewan ,4708004
"Yorkton, Saskatchewan [4709012]",Yorkton, Saskatchewan ,4709012
"Banff, Alberta [4815035]",Banff, Alberta ,4815035
"Black Diamond, Alberta [4806011]",Black Diamond, Alberta ,4806011
"Brocket, Alberta",Brocket,#VALUE!,#VALUE!
"Brooks, Alberta [4802034]",Brooks, Alberta ,4802034
"Calgary, Alberta [4806016]",Calgary, Alberta ,4806016
"Camrose, Alberta [4810011]",Camrose, Alberta ,4810011
"Cold Lake, Alberta [4812002]",Cold Lake, Alberta ,4812002
"Edmonton, Alberta [4811061]",Edmonton, Alberta ,4811061
"Enilda, Alberta",Enilda,#VALUE!,#VALUE!
"Fairview, Alberta [4819068]",Fairview, Alberta ,4819068
"Fort Chipewyan, Alberta",Fort Chipewyan,#VALUE!,#VALUE!
"Grande Cache, Alberta [4818005]",Grande Cache, Alberta ,4818005
"Grande Prairie, Alberta [4819012]",Grande Prairie, Alberta ,4819012
"Gunn, Alberta",Gunn,#VALUE!,#VALUE!
"High Level, Alberta [4817093]",High Level, Alberta ,4817093
"Hinton, Alberta [4814019]",Hinton, Alberta ,4814019
"Hobbema, Alberta",Hobbema,#VALUE!,#VALUE!
"Lac La Biche, Alberta",Lac La Biche,#VALUE!,#VALUE!
"Lethbridge, Alberta [4802012]",Lethbridge, Alberta ,4802012
"Lloydminster, Alberta",Lloydminster,#VALUE!,#VALUE!
"Medicine Hat, Alberta [4801006]",Medicine Hat, Alberta ,4801006
"Morely, Alberta",Morely,#VALUE!,#VALUE!
"Peace River, Alberta [4819038]",Peace River, Alberta ,4819038
"Pincher Creek, Alberta [4803014]",Pincher Creek, Alberta ,4803014
"Red Deer, Alberta [4808011]",Red Deer, Alberta ,4808011
"Rocky Mountain House, Alberta [4809015]",Rocky Mountain House, Alberta ,4809015
"Standoff, Alberta",Standoff,#VALUE!,#VALUE!
"St. Paul, Alberta [4812018]",St. Paul, Alberta ,4812018
"Strathmore, Alberta [4805018]",Strathmore, Alberta ,4805018
"Taber, Alberta [4802021]",Taber, Alberta ,4802021
"Wabaska, Alberta",Wabaska,#VALUE!,#VALUE!
"Whitecourt, Alberta [4813030]",Whitecourt, Alberta ,4813030
"Wood Buffalo, Alberta [4816037]",Wood Buffalo, Alberta ,4816037
"100 Mile House, British Columbia",100 Mile House,#VALUE!,#VALUE!
"Abbotsford, British Columbia [5909052]",Abbotsford, British Columbia ,5909052
"Aldergrove, British Columbia",Aldergrove,#VALUE!,#VALUE!
"Atlin, British Columbia",Atlin,#VALUE!,#VALUE!
"Bella Coolla, British Columbia",Bella Coolla,#VALUE!,#VALUE!
"Burnaby, British Columbia [5915025]",Burnaby, British Columbia ,5915025
"Burns Lake, British Columbia [5951022]",Burns Lake, British Columbia ,5951022
"Campbell River, British Columbia [5924034]",Campbell River, British Columbia ,5924034
"Castelgar, British Columbia",Castelgar,#VALUE!,#VALUE!
"Chetwynd, British Columbia [5955010]",Chetwynd, British Columbia ,5955010
"Chilliwack, British Columbia [5909020]",Chilliwack, British Columbia ,5909020
"Clearwater, British Columbia [5933067]",Clearwater, British Columbia ,5933067
"Colwood, British Columbia [5917041]",Colwood, British Columbia ,5917041
"Coquitlam, British Columbia [5915034]",Coquitlam, British Columbia ,5915034
"Courtenay, British Columbia [5926010]",Courtenay, British Columbia ,5926010
"Cranbrook, British Columbia [5901022]",Cranbrook, British Columbia ,5901022
"Creston, British Columbia [5903004]",Creston, British Columbia ,5903004
"Dawson Creek, British Columbia [5955014]",Dawson Creek, British Columbia ,5955014
"Dease Lake, British Columbia [5949845]",Dease Lake, British Columbia ,5949845
"Duncan, British Columbia [5919012]",Duncan, British Columbia ,5919012
"Elkford, British Columbia [5901003]",Elkford, British Columbia ,5901003
"Fort Nelson, British Columbia",Fort Nelson,#VALUE!,#VALUE!
"Fort St. James, British Columbia [5951013]",Fort St. James, British Columbia ,5951013
"Fort St. John, British Columbia [5955034]",Fort St. John, British Columbia ,5955034
"Gold River, British Columbia [5924025]",Gold River, British Columbia ,5924025
"Golden, British Columbia [5939007]",Golden, British Columbia ,5939007
"Grand Forks, British Columbia [5905032]",Grand Forks, British Columbia ,5905032
"Hope , British Columbia",Hope ,#VALUE!,#VALUE!
"Invermere, British Columbia [5901039]",Invermere, British Columbia ,5901039
"Kamloops, British Columbia [5933042]",Kamloops, British Columbia ,5933042
"Kaslo, British Columbia [5903023]",Kaslo, British Columbia ,5903023
"Kelowna, British Columbia [5935010]",Kelowna, British Columbia ,5935010
"Keremeos, British Columbia [5907009]",Keremeos, British Columbia ,5907009
"Kitimat, British Columbia [5949005]",Kitimat, British Columbia ,5949005
"Langley, British Columbia [5915001]",Langley, British Columbia ,5915001
"Lillooet, British Columbia [5931821]",Lillooet, British Columbia ,5931821
"Lytton, British Columbia [5933015]",Lytton, British Columbia ,5933015
"Mackenzie, British Columbia [5953033]",Mackenzie, British Columbia ,5953033
"Maple Ridge, British Columbia [5915075]",Maple Ridge, British Columbia ,5915075
"Masset, British Columbia [5947023]",Masset, British Columbia ,5947023
"McBride, British Columbia [5953012]",McBride, British Columbia ,5953012
"Merritt, British Columbia [5933006]",Merritt, British Columbia ,5933006
"Mission, British Columbia [5909056]",Mission, British Columbia ,5909056
"Nakusp, British Columbia [5903050]",Nakusp, British Columbia ,5903050
"Nanaimo, British Columbia [5921007]",Nanaimo, British Columbia ,5921007
"Nelson, British Columbia [5903015]",Nelson, British Columbia ,5903015
"New Westminster, British Columbia [5915029]",New Westminster, British Columbia ,5915029
"Osoyoos, British Columbia [5907005]",Osoyoos, British Columbia ,5907005
"Parksville, British Columbia [5921018]",Parksville, British Columbia ,5921018
"Penticton, British Columbia [5907041]",Penticton, British Columbia ,5907041
"Port Alberni, British Columbia [5923008]",Port Alberni, British Columbia ,5923008
"Port Hardy, British Columbia [5943023]",Port Hardy, British Columbia ,5943023
"Powell River, British Columbia [5927008]",Powell River, British Columbia ,5927008
"Prince George, British Columbia [5953023]",Prince George, British Columbia ,5953023
"Prince Rupert, British Columbia [5947012]",Prince Rupert, British Columbia ,5947012
"Princeton, British Columbia [5907024]",Princeton, British Columbia ,5907024
"Quesnel, British Columbia [5941013]",Quesnel, British Columbia ,5941013
"Richmond , British Columbia",Richmond ,#VALUE!,#VALUE!
"Revelstoke, British Columbia [5939019]",Revelstoke, British Columbia ,5939019
"Salmo, British Columbia [5903011]",Salmo, British Columbia ,5903011
"Salmon Arm, British Columbia [5939032]",Salmon Arm, British Columbia ,5939032
"Saltspring Island, British Columbia",Saltspring Island,#VALUE!,#VALUE!
"Sechelt, British Columbia [5929011]",Sechelt, British Columbia ,5929011
"Smithers, British Columbia [5951043]",Smithers, British Columbia ,5951043
"Sooke, British Columbia [5917052]",Sooke, British Columbia ,5917052
"Squamish, British Columbia [5931006]",Squamish, British Columbia ,5931006
"Surrey, British Columbia [5915004]",Surrey, British Columbia ,5915004
"Telegraph Creek, British Columbia [5949847]",Telegraph Creek, British Columbia ,5949847
"Terrace, British Columbia [5949011]",Terrace, British Columbia ,5949011
"Trail, British Columbia [5905014]",Trail, British Columbia ,5905014
"Tumbler Ridge, British Columbia [5955003]",Tumbler Ridge, British Columbia ,5955003
"Ucluelet, British Columbia [5923019]",Ucluelet, British Columbia ,5923019
"Valemount, British Columbia [5953007]",Valemount, British Columbia ,5953007
"Vancouver, British Columbia [5915022]",Vancouver, British Columbia ,5915022
"Vanderhoof, British Columbia [5951007]",Vanderhoof, British Columbia ,5951007
"Vernon, British Columbia [5937014]",Vernon, British Columbia ,5937014
"Victoria , British Columbia",Victoria ,#VALUE!,#VALUE!
"Whistler, British Columbia [5931020]",Whistler, British Columbia ,5931020
"White Rock, British Columbia [5915007]",White Rock, British Columbia ,5915007
"Williams Lake, British Columbia [5941009]",Williams Lake, British Columbia ,5941009
"Carmacks, Yukon [6001012]",Carmacks, Yukon ,6001012
"Dawson City, Yukon",Dawson City,#VALUE!,#VALUE!
"Ross River, Yukon [6001037]",Ross River, Yukon ,6001037
"Watson Lake, Yukon [6001003]",Watson Lake, Yukon ,6001003
"Whitehorse, Yukon [6001009]",Whitehorse, Yukon ,6001009
"Fort Smith, Northwest Territories [6105001]",Fort Smith, Northwest Territories ,6105001
"Hay River, Northwest Territories [6105016]",Hay River, Northwest Territories ,6105016
"Inuvik, Northwest Territories [6101017]",Inuvik, Northwest Territories ,6101017
"Tuktoyaktuk, Northwest Territories [6101036]",Tuktoyaktuk, Northwest Territories ,6101036
"Yellowknife, Northwest Territories [6106023]",Yellowknife, Northwest Territories ,6106023
"Cambridge Bay, Nunavut [6208073]",Cambridge Bay, Nunavut ,6208073
"Cape Dorset, Nunavut [6204007]",Cape Dorset, Nunavut ,6204007
"Iqaluit, Nunavut [6204003]",Iqaluit, Nunavut ,6204003
"Rankin Inlet, Nunavut [6205017]",Rankin Inlet, Nunavut ,6205017
"Taloyoak, Nunavut [6208087]",Taloyoak, Nunavut ,6208087
